Timestamp,US01M,US02Y,US03MY,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,VIX,DJT,DJT_Vol,XLE,XLE_Vol,XLF,XLF_Vol,XLI,XLI_Vol,XLK,XLK_Vol,XLP,XLP_Vol,XLU,XLU_Vol,XLV,XLV_Vol,XLY,XLY_Vol,VIX,VIX3M,VIX9D,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,1/VOLX_Vol,VIXM/VIXY,VIXM/VIXY_Vol,XLY*XLK/(XLP*XLU),XLY*XLK/(XLP*XLU)_Vol,ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,HYG/UB1!_Vol,6A1!,6A1!_Vol,6B1!,6B1!_Vol,6C1!,6C1!_Vol,6E1!,6E1!_Vol,6J1!,6J1!_Vol,6S1!,6S1!_Vol,CL1!,CL1!_Vol,CL2!,CL2!_Vol,HG1!,HG1!_Vol,PL1!,PL1!_Vol,SI1!,SI1!_Vol,GC1!,GC1!_Vol,ES1!,ES1!_Vol,NG1!,NG1!_Vol,YM1!,YM1!_Vol,RTY1!,RTY1!_Vol,ZT1!,ZT1!_Vol,ZF1!,ZF1!_Vol,ZN1!,ZN1!_Vol,ZB1!,ZB1!_Vol,UB1!,UB1!_Vol,RB1!,RB1!_Vol,RB2!,RB2!_Vol
2023:11:11 14:52:08,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:09,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:10,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:11,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:13,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.17,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.17,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:14,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:16,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:17,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:19,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:21,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:22,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:24,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:26,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:27,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.17,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.17,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:28,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:29,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:31,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
2023:11:11 14:52:32,5.29,5.067,5.417,4.687,4.652,4.976,4.766,5.33,14.18,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,14.18,16.52,12.78,0.967386,1.070419,-173,9,88,-11,566,-2340751,0.066711140760507,14391.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,150.0,424.0,0.6301302844988035,35818872.0,0.63625,99410.0,1.2221,93413.0,0.72445,51847.0,1.06955,145832.0,0.0066335,118836.0,1.11195,13310.0,77.17,241681.0,77.15,145233.0,3.587,89610.0,845.6,29444.0,22.281,58708.0,1937.7,210158.0,4430.5,1675775.0,3.033,101277.0,34338.0,147769.0,1711.5,231533.0,101.222656,590461.0,104.984375,1112573.0,107.421875,1622680.0,113.375,432225.0,117.53125,255605.0,2.1895,35862.0,2.1663,40974.0
